url,brand,notes
https://www.shopify.com/es/,Shopify,E-commerce platform
https://www.salesforce.com/es/,Salesforce,CRM platform
https://kinsta.com/es/,Kinsta,WordPress hosting
https://woocommerce.com/,WooCommerce,E-commerce plugin
https://yoast.com/,Yoast,SEO plugin
https://www.hubspot.com/es/,HubSpot,Marketing & CRM
https://www.semrush.com/es/,SEMrush,SEO tools
https://www.mailchimp.com/es/,Mailchimp,Email marketing
https://buffer.com/,Buffer,Social media
https://www.canva.com/es/,Canva,Design tool
